,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
153313,40.685436,-73.79326,0.0
311035,40.667076,-73.78266,0.0
171746,40.819717,-73.94048,0.0
776433,40.694267,-73.87674,0.0
77974,40.703762,-73.94262,1.0
815942,,,0.0
272790,40.667038,-73.757324,0.0
708636,40.68796,-73.96141,0.0
62087,40.747627,-73.976746,0.0
576840,40.610214,-73.94371,0.0
218154,40.58478,-73.94526,0.0
473312,40.845886,-73.913506,1.0
193071,40.64254,-73.87652,0.0
234049,40.66645,-73.75764,0.0
237001,40.65317,-73.866875,0.0
444090,40.831722,-73.915016,0.0
68782,40.66552,-73.74467,0.0
749846,40.514927,-74.23238,0.0
276913,40.85004,-73.91606,1.0
341533,40.588924,-74.167625,1.0
241678,40.84506,-73.91309,0.0
455356,40.62357,-73.935616,0.0
608865,40.8252,-73.867714,0.0
488045,40.743378,-73.99392,0.0
151823,40.729355,-73.747665,0.0
37163,40.752563,-73.86518,0.0
844109,40.7219956,-74.0029727,0.0
672260,40.653454,-73.88466,2.0
836495,40.7537176,-73.7871125,0.0
286325,40.61725,-73.94481,0.0
778560,40.8305,-73.861626,1.0
141734,40.671448,-73.78943,0.0
543756,40.592304,-73.95423,1.0
781216,40.61561,-74.01651,2.0
302288,40.814415,-73.85012,0.0
211821,40.796555,-73.82187,0.0
395593,40.823135,-73.89489,0.0
241927,40.75365,-73.88573,1.0
66123,40.764034,-73.74351,0.0
502818,40.699127,-73.81769,0.0
286032,40.69632,-73.960625,0.0
512788,40.729717,-73.8193,0.0
522906,40.66682,-73.7612,0.0
340506,40.690758,-73.99624,1.0
605143,40.71993,-73.96112,0.0
125941,40.703392,-73.81035,0.0
70712,40.883152,-73.856285,0.0
35652,40.716,-73.74546,0.0
812048,40.754204,-73.994255,0.0
259048,40.761856,-73.96343,0.0
466680,40.73329,-73.98719,1.0
14700,40.587444,-73.812164,1.0
763270,40.787224,-73.95417,0.0
169574,40.5433,-74.16424,0.0
385668,40.64412,-73.98907,0.0
363568,40.85477,-73.90299,0.0
797508,40.74478,-73.859085,0.0
220473,40.826424,-73.95254,0.0
383704,40.78189,-73.9834,0.0
139307,40.62997,-73.936775,0.0
103979,40.827473,-73.90901,1.0
782203,40.729713,-74.01069,0.0
313571,40.62058,-73.9964,0.0
435008,40.75425,-73.827835,0.0
399185,40.615005,-73.980225,0.0
105855,40.701534,-73.88565,0.0
251231,40.831947,-73.91987,0.0
256520,40.711323,-73.94725,0.0
377096,,,0.0
596335,,,0.0
74154,40.818016,-73.96043,0.0
8650,40.714535,-73.9373,0.0
462821,40.631233,-73.981316,0.0
525700,40.680267,-73.94748,0.0
572368,,,0.0
76309,40.759163,-73.988396,0.0
330524,40.80142,-73.93446,0.0
370157,40.756035,-73.82854,0.0
829711,,,3.0
593039,40.829735,-73.938644,0.0
34650,40.752403,-73.92442,2.0
117120,40.688904,-73.980934,0.0
769310,40.85315,-73.90561,0.0
521956,40.739235,-73.884514,0.0
268518,40.754875,-73.96853,0.0
393685,40.69831,-73.95594,0.0
581677,40.757286,-73.97812,0.0
36522,40.68361,-73.79638,0.0
81403,40.552948,-74.168106,0.0
518548,40.577625,-74.10264,0.0
660621,40.838474,-73.94375,0.0
74558,40.807095,-73.945984,0.0
371588,40.74327,-73.961464,0.0
63581,40.812283,-73.90447,1.0
149147,40.66482,-73.95718,0.0
330988,40.756035,-73.98695,0.0
27720,40.718063,-73.998985,0.0
80014,40.699482,-73.96104,0.0
817524,40.7373607,-73.996839,0.0
379661,40.755703,-73.86624,0.0
638079,40.853813,-73.90734,0.0
394759,40.71654,-73.996994,0.0
765393,40.69431,-73.93134,0.0
424342,40.759388,-73.99193,0.0
464018,40.66678,-73.839005,0.0
248245,40.734295,-73.97455,0.0
84169,40.67816,-73.897484,1.0
194293,40.623882,-73.9782,0.0
774518,40.656914,-73.95315,0.0
511553,40.700512,-73.796776,1.0
111575,40.770554,-73.83551,0.0
700441,40.673008,-73.87038,0.0
473164,40.7338,-73.988365,0.0
826986,40.7681,-73.90512,0.0
306145,40.7968,-73.929375,0.0
47610,40.82652,-73.85797,0.0
655047,,,0.0
514586,40.59917,-73.953255,0.0
331048,40.69137,-73.77997,0.0
539715,40.841175,-73.88429,0.0
705814,0.0,0.0,1.0
218573,40.680477,-73.7921,1.0
72446,40.667423,-73.98268,0.0
59995,40.665974,-73.74061,0.0
133018,40.859,-73.90353,1.0
670879,,,0.0
488200,40.814075,-73.79548,0.0
51655,40.732784,-73.73335,0.0
