,start_lat,start_lng,end_lat,end_lng
415348,41.94006766666666,-87.65299,41.9256018819,-87.6537080423
324073,41.894346,-87.622949,41.8513751729,-87.6188346489
10637,41.892278,-87.612043,41.892278,-87.612043
82454,41.880958,-87.616743,41.911722,-87.626804
342210,41.93758231600629,-87.6440978050232,41.940106,-87.645451
140791,41.88504016666667,-87.63121633333333,41.864059,-87.623727
530822,41.958494,-87.654966,41.95786652415174,-87.64950513839722
446548,41.89,-87.68,41.895501,-87.682017
392468,41.9947796884,-87.6602845349,41.952833,-87.649993
267760,41.896362458,-87.6540612729,41.871737,-87.65103
715402,41.9,-87.62,41.963982,-87.638181
258993,41.95,-87.83,41.95,-87.83
73977,41.8776415962753,-87.64961779117584,41.871262,-87.673688
105568,41.965845,-87.645361,41.965845,-87.645361
288105,41.86722595682,-87.6153553902,41.87207763285,-87.6295437729
659105,41.96946916666667,-87.65471033333333,41.94,-87.65
378530,41.88917683258,-87.6385057718,41.881319815,-87.6295209193
662300,41.92,-87.7,41.96,-87.73
575740,41.8796015,-87.6258675,41.911722,-87.626804
266563,42.01,-87.7,41.967096,-87.667429
743463,41.88917683258,-87.6385057718,41.894503,-87.617854
461533,41.935733,-87.663576,41.9362534831413,-87.65266209840775
680903,41.79,-87.6,41.8,-87.59
153737,41.85794466666667,-87.640866,41.8694821,-87.6554864
347900,41.940775,-87.639192,41.918306,-87.636282
568606,41.92537183333334,-87.66578983333333,41.92154,-87.653818
627917,41.94805466666666,-87.66408716666666,41.93,-87.66
457240,41.8349,-87.61793,41.80229465088,-87.6180535802
622407,41.92,-87.72,41.93,-87.63
618351,41.867888,-87.623041,41.8750236280333,-87.6330940425396
768592,41.890719,-87.61827116666667,41.88338,-87.64117
238027,41.88338,-87.64117,41.92669,-87.697668
140415,41.893992,-87.629318,41.878166,-87.631929
423407,41.87295,-87.66913,41.858166,-87.656495
612711,41.940743833333336,-87.639234,41.889906,-87.634266
348550,41.94815,-87.66394,41.9364968219,-87.6475386582
662908,41.98,-87.65,41.96,-87.65
127893,41.885775,-87.63121066666666,41.87831661183069,-87.64098107814789
89383,41.93947775040509,-87.6637476682663,41.9364968219,-87.6475386582
95420,41.90021949323,-87.6429854676,41.897764,-87.642884
59709,41.8869425,-87.62617783333333,41.89434513742426,-87.62279838323593
583154,41.883143,-87.637242,41.889375,-87.627077
629915,41.93,-87.71,41.94,-87.71
674025,41.88,-87.66,41.93,-87.65
249175,41.89102331025185,-87.63547986745834,41.902924,-87.637715
565763,41.93766716666666,-87.644037,41.9366884494997,-87.63682901859283
797128,41.88921766666667,-87.63840983333333,41.891578,-87.648384
431065,41.87936233333333,-87.6398985,41.877181,-87.627844
334747,41.95358617895,-87.7093107999,41.940106,-87.645451
335426,41.893806458,-87.641841769,41.88577925240433,-87.65102460980414
205860,41.870769,-87.625734,41.87785,-87.62408
284969,41.8883855,-87.64400766666667,41.883165,-87.6511
699749,41.88367016666667,-87.63744816666667,41.89,-87.62
656399,41.8803105,-87.64282816666666,41.88,-87.65
325028,41.901091,-87.62351416666667,41.886976,-87.612813
21301,41.8004415,-87.72477983333333,41.8,-87.75
579923,41.881892,-87.648789,41.89380805624359,-87.64169722795485
413869,41.911974,-87.631942,41.8985866514,-87.6219152258
584159,41.889946818,-87.634375811,41.88937546663168,-87.62707650661469
173238,41.907066,-87.667252,41.857412,-87.613792
262350,41.91571916666667,-87.63463483333334,41.935733,-87.663576
620941,41.95422716666667,-87.65451533333334,41.922695,-87.697153
229477,41.94375583333333,-87.66393066666667,41.943739,-87.66402
74355,41.97334764047304,-87.6678554713726,41.963982,-87.638181
2905,41.9138055,-87.648778,41.880317,-87.635185
73392,41.87716183333333,-87.63994816666667,41.97328682025979,-87.65475958585739
62820,41.88917683258,-87.6385057718,41.892278,-87.612043
108136,41.88937546663168,-87.62707650661469,41.889906,-87.634266
195604,41.88188233333333,-87.64883366666666,41.911722,-87.626804
244808,41.881032,-87.624084,41.867226,-87.615355
53917,41.86722595682,-87.6153553902,41.876243,-87.624426
778922,41.96153533333333,-87.66635166666667,41.94018,-87.65304
529500,41.911722,-87.626804,41.949399,-87.654529
395803,41.898922166666665,-87.6299365,41.932225,-87.658617
178303,41.902893,-87.687275,41.895769,-87.67722
319647,41.89005066666667,-87.61883283333333,41.87831661183069,-87.64098107814789
637703,41.89,-87.65,41.93,-87.7
279119,41.90116,-87.62380116666667,41.886024,-87.624117
322810,41.902818333333336,-87.63159566666667,41.91643342912655,-87.66674637794495
421708,41.77884633333333,-87.58671733333334,41.76663823695,-87.5764501141
464786,41.92481559681187,-87.71449506282805,41.881892,-87.648789
621466,41.94,-87.74,41.95,-87.76
171234,41.966399801840986,-87.68870428204536,41.963982,-87.638181
54931,41.891578,-87.648384,41.888716036,-87.6444478533
255218,41.90091983333333,-87.6238165,41.90096039,-87.62377664
